Date,Plug-in hybrid,Battery electric,Petrol/diesel hybrid,Diesel,Petrol
2024-01-01,-60%,-76%,13%,31%,-2%
2024-02-01,-53%,-44%,52%,11%,-9%
2024-03-01,-56%,-79%,5%,-14%,-26%
2024-04-01,-68%,-73%,47%,-9%,-8%
2024-05-01,-76%,-62%,3%,-15%,-26%
2024-06-01,-83%,-79%,-39%,-54%,-62%
2024-07-01,-43%,-33%,111%,50%,55%
2024-08-01,-70%,-41%,18%,1%,18%
2024-09-01,-46%,-57%,68%,3%,19%
2024-10-01,-63%,-68%,33%,-4%,19%
2024-11-01,-68%,-74%,35%,1%,-17%
